coder.id,paper.doi_1,Aim,performance.type,Aim.disagree,Q49,initial.note,claim.presence,Flag,Flag.type,Flag.type_3_TEXT,Note.final,group,variable,value,theme_count
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,development.category,Media and Ingredients,84
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,development.category,Investments,14
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,development.category,Energy Use is High,24
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,development.category,Process and Bioreactors,61
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,development.category,Poor Sensory Attribute,51
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,senses.dev,Taste,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,senses.dev,Looks,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,senses.dev,Texture,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,ingredients,Economical Ingredients,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,opportunity.type,the Environment,189
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,env.opps,Excessive Fresh Water Use,77
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,existence,1 - The theme exists,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,fulfillment,0.5 - hedging,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,4,more,Yes,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,4,problem.or.benefit,Barrier,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,4,develop.or.adopt,Development,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,4,development.category,Media and Ingredients,84
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,4,ingredients,Animal-free Ingredients,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,4,existence,1 - The theme exists,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,4,fulfillment,Not Indicated,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,5,more,Yes,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,5,problem.or.benefit,Opportunity,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,5,opportunity.type,Humans,187
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,5,Human.opps,Public Health,184
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,5,Health.opps,Offering Better Nutrition,40
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,5,Health.opps,Increasing Food Security,147
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,5,existence,1 - The theme exists,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,5,fulfillment,0 - Theme may or may not be overcome,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,6,more,Yes,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,6,problem.or.benefit,Opportunity,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,6,opportunity.type,the Environment,189
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,6,opportunity.type,Livestock,131
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,6,env.opps,Non-specified,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,6,existence,1 - The theme exists,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,6,fulfillment,0.5 - hedging,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,more,Yes,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,problem.or.benefit,Barrier,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,problem.or.benefit,Opportunity,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,develop.or.adopt,Adoption,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,adoption.category,Public Distrust,119
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,distrust.sources,Safety Concerns,44
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,distrust.sources,poor Sensory Attributes,59
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,senses.distrust,not specified,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,opportunity.type,Humans,187
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,Human.opps,Public Health,184
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,Health.opps,Offering Better Nutrition,40
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,existence,1 - The theme exists,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,7,fulfillment,0 - Theme may or may not be overcome,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,8,more,No - Continue to Final Note,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,more,Yes,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,problem.or.benefit,Opportunity,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,opportunity.type,the Environment,189
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,opportunity.type,Humans,187
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,env.opps,Excessive Fresh Water Use,77
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,env.opps,Land Use or Land Change,90
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,env.opps,Pollution,113
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,pollution,Air,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,Human.opps,Public Health,184
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,Health.opps,Increasing Food Security,147
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,existence,1 - The theme exists,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,1,fulfillment,0.5 - hedging,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,more,Yes,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,problem.or.benefit,Barrier,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,develop.or.adopt,Development,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,develop.or.adopt,Adoption,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,adoption.category,Cost or Willingness to Pay,63
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,development.category,Media and Ingredients,84
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,development.category,Investments,14
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,development.category,Process and Bioreactors,61
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,ingredients,Economical Ingredients,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,existence,1 - The theme exists,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,2,fulfillment,0 - Theme may or may not be overcome,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,more,Yes,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,problem.or.benefit,Opportunity,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,opportunity.type,the Environment,189
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,opportunity.type,Livestock,131
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,opportunity.type,Humans,187
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,env.opps,Pollution,113
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,pollution,Air,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,Human.opps,Public Health,184
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,Health.opps,Offering Better Nutrition,40
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,Health.opps,Increasing Food Security,147
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,existence,1 - The theme exists,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,3,fulfillment,0.5 - hedging,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,more,Yes,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,problem.or.benefit,Barrier,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,develop.or.adopt,Development,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,develop.or.adopt,Adoption,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,adoption.category,Cost or Willingness to Pay,63
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,development.category,Media and Ingredients,84
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,development.category,Process and Bioreactors,61
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,ingredients,Economical Ingredients,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,existence,1 - The theme exists,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,4,fulfillment,0 - Theme may or may not be overcome,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,more,Yes,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,problem.or.benefit,Barrier,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,develop.or.adopt,Development,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,develop.or.adopt,Adoption,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,adoption.category,Cost or Willingness to Pay,63
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,development.category,Media and Ingredients,84
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,development.category,Process and Bioreactors,61
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,ingredients,Economical Ingredients,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,existence,1 - The theme exists,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,5,fulfillment,0 - Theme may or may not be overcome,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,more,Yes,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,problem.or.benefit,Opportunity,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,opportunity.type,the Environment,189
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,env.opps,Excessive Fresh Water Use,77
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,env.opps,Land Use or Land Change,90
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,env.opps,Pollution,113
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,env.opps,Other,11
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,pollution,Air,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,existence,1 - The theme exists,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,6,fulfillment,1 - Theme will be overcome/fulfilled or already is,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,more,Yes,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,problem.or.benefit,Barrier,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,develop.or.adopt,Development,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,develop.or.adopt,Adoption,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,adoption.category,Cost or Willingness to Pay,63
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,development.category,Media and Ingredients,84
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,development.category,Process and Bioreactors,61
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,ingredients,Economical Ingredients,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,existence,1 - The theme exists,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,7,fulfillment,0 - Theme may or may not be overcome,NA
Griffin,10.1002/bit.28324,Performance,Economic,None,NA,NA,Yes,NA,Redo if time,NA,done,8,more,No - Continue to Final Note,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,more,Yes,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,problem.or.benefit,Barrier,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,problem.or.benefit,Opportunity,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,develop.or.adopt,Development,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,opportunity.type,Humans,187
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,Human.opps,Public Health,184
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,Health.opps,Increasing Food Security,147
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,existence,1 - The theme exists,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,1,fulfillment,Not Indicated,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,2,more,Yes,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,2,problem.or.benefit,Barrier,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,2,develop.or.adopt,Development,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,2,development.category,Scaffolds,75
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,2,existence,1 - The theme exists,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,NA,None,NA,NA,Yes,NA,NA,NA,NA,2,fulfillment,0.5 - hedging,NA
