coder,doi,aim,performance.type,group,variable,value,section,BLOC,existence,fulfillment
Griffin,10.1016/j.jfca.2024.106663,Safety,,4,development.category,Media and Ingredients,Discussion,Barrier,1,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,,4,ingredients,Animal-free Ingredients,Discussion,Barrier,1,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,,5,opportunity.type,Humans,Discussion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,5,Human.opps,Public Health,Discussion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,5,Health.opps,Offering Better Nutrition,Discussion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,5,Health.opps,Increasing Food Security,Discussion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,6,opportunity.type,the Environment,Conclusion,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,6,opportunity.type,Livestock,Conclusion,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,6,env.opps,Non-specified,Conclusion,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,develop.or.adopt,Adoption,Conclusion,Barrier,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,develop.or.adopt,Adoption,Conclusion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,adoption.category,Public Distrust,Conclusion,Barrier,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,adoption.category,Public Distrust,Conclusion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,distrust.sources,Safety Concerns,Conclusion,Barrier,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,distrust.sources,poor Sensory Attributes,Conclusion,Barrier,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,distrust.sources,Safety Concerns,Conclusion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,distrust.sources,poor Sensory Attributes,Conclusion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,senses.distrust,not specified,Conclusion,Barrier,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,senses.distrust,not specified,Conclusion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,opportunity.type,Humans,Conclusion,Barrier,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,opportunity.type,Humans,Conclusion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,Human.opps,Public Health,Conclusion,Barrier,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,Human.opps,Public Health,Conclusion,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,Health.opps,Offering Better Nutrition,Conclusion,Barrier,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,7,Health.opps,Offering Better Nutrition,Conclusion,Opportunity,1,0
Griffin,10.1002/bit.28324,Performance,Economic,1,opportunity.type,the Environment,Abstract,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,1,opportunity.type,Humans,Abstract,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,1,env.opps,Excessive Fresh Water Use,Abstract,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,1,env.opps,Land Use or Land Change,Abstract,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,1,env.opps,Pollution,Abstract,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,1,pollution,Air,Abstract,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,1,Human.opps,Public Health,Abstract,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,1,Health.opps,Increasing Food Security,Abstract,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,2,develop.or.adopt,Development,Abstract,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,2,develop.or.adopt,Adoption,Abstract,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,2,adoption.category,Cost or Willingness to Pay,Abstract,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,2,development.category,Media and Ingredients,Abstract,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,2,development.category,Investments,Abstract,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,2,development.category,Process and Bioreactors,Abstract,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,2,ingredients,Economical Ingredients,Abstract,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,3,opportunity.type,the Environment,Introduction,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,3,opportunity.type,Livestock,Introduction,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,3,opportunity.type,Humans,Introduction,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,3,env.opps,Pollution,Introduction,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,3,pollution,Air,Introduction,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,3,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,3,Health.opps,Offering Better Nutrition,Introduction,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,3,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Griffin,10.1002/bit.28324,Performance,Economic,4,develop.or.adopt,Development,Introduction,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,4,develop.or.adopt,Adoption,Introduction,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,4,adoption.category,Cost or Willingness to Pay,Introduction,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,4,development.category,Media and Ingredients,Introduction,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,4,development.category,Process and Bioreactors,Introduction,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,4,ingredients,Economical Ingredients,Introduction,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,5,develop.or.adopt,Development,Results and Discussion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,5,develop.or.adopt,Adoption,Results and Discussion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,5,adoption.category,Cost or Willingness to Pay,Results and Discussion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,5,development.category,Media and Ingredients,Results and Discussion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,5,development.category,Process and Bioreactors,Results and Discussion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,5,ingredients,Economical Ingredients,Results and Discussion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,6,opportunity.type,the Environment,Conclusion,Opportunity,1,1
Griffin,10.1002/bit.28324,Performance,Economic,6,env.opps,Excessive Fresh Water Use,Conclusion,Opportunity,1,1
Griffin,10.1002/bit.28324,Performance,Economic,6,env.opps,Land Use or Land Change,Conclusion,Opportunity,1,1
Griffin,10.1002/bit.28324,Performance,Economic,6,env.opps,Pollution,Conclusion,Opportunity,1,1
Griffin,10.1002/bit.28324,Performance,Economic,6,env.opps,Other,Conclusion,Opportunity,1,1
Griffin,10.1002/bit.28324,Performance,Economic,6,pollution,Air,Conclusion,Opportunity,1,1
Griffin,10.1002/bit.28324,Performance,Economic,7,develop.or.adopt,Development,Conclusion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,7,develop.or.adopt,Adoption,Conclusion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,7,adoption.category,Cost or Willingness to Pay,Conclusion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,7,development.category,Media and Ingredients,Conclusion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,7,development.category,Process and Bioreactors,Conclusion,Barrier,1,0
Griffin,10.1002/bit.28324,Performance,Economic,7,ingredients,Economical Ingredients,Conclusion,Barrier,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,1,develop.or.adopt,Development,Abstract,Barrier,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,1,develop.or.adopt,Development,Abstract,Opportunity,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,1,opportunity.type,Humans,Abstract,Barrier,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,1,opportunity.type,Humans,Abstract,Opportunity,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,1,Human.opps,Public Health,Abstract,Barrier,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,1,Human.opps,Public Health,Abstract,Opportunity,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,1,Health.opps,Increasing Food Security,Abstract,Barrier,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,1,Health.opps,Increasing Food Security,Abstract,Opportunity,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,2,develop.or.adopt,Development,Abstract,Barrier,1,0.5
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,2,development.category,Scaffolds,Abstract,Barrier,1,0.5
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,3,opportunity.type,Livestock,Introduction,Opportunity,1,1
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,4,opportunity.type,the Environment,Introduction,Opportunity,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,4,env.opps,Land Use or Land Change,Introduction,Opportunity,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,4,env.opps,Pollution,Introduction,Opportunity,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,4,pollution,Air,Introduction,Opportunity,1,NA
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,5,develop.or.adopt,Development,Introduction,Barrier,0,1
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,5,development.category,Scaffolds,Introduction,Barrier,0,1
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,5,development.category,non-Nutritious,Introduction,Barrier,0,1
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,opportunity.type,the Environment,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,opportunity.type,Livestock,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,opportunity.type,Humans,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,env.opps,Wasteful production methods,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,env.opps,Excessive Fresh Water Use,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,env.opps,Land Use or Land Change,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,env.opps,Pollution,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,pollution,Air,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,Human.opps,Public Health,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,Health.opps,Increasing Food Security,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,Health.opps,Food Safety Improvements,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,Food.safety,Reducing risk of Contaminants,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,6,Food.safety,Reducing Antibiotics used for Livestock,Discussion,Opportunity,1,0
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,7,develop.or.adopt,Development,Conclusion,Barrier,1,0.5
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,7,development.category,Scaffolds,Conclusion,Barrier,1,0.5
Chris,10.1016/j.ifset.2024.103734,Scaffolding,,7,development.category,Media and Ingredients,Conclusion,Barrier,1,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,1,develop.or.adopt,Adoption,Abstract,Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,1,adoption.category,Public Distrust,Abstract,Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,1,distrust.sources,Religious beliefs,Abstract,Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,2,develop.or.adopt,Adoption,Abstract,Barrier,-0.5,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,2,adoption.category,Public Distrust,Abstract,Barrier,-0.5,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,2,distrust.sources,Withheld Information concerns,Abstract,Barrier,-0.5,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,2,distrust.sources,False Information concerns,Abstract,Barrier,-0.5,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,3,opportunity.type,the Environment,Introduction,Opportunity,1,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,3,opportunity.type,Humans,Introduction,Opportunity,1,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,3,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,3,Human.opps,Economic - (includes energy efficiency),Introduction,Opportunity,1,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,3,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,3,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.3389/fsufs.2023.1127164,Religion,,4,develop.or.adopt,Adoption,Introduction,Barrier,1,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,4,adoption.category,Regulations,Introduction,Barrier,1,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,5,develop.or.adopt,Adoption,Introduction,Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,5,adoption.category,Public Distrust,Introduction,Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,5,distrust.sources,Religious beliefs,Introduction,Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,6,section_9_TEXT,Literature Review,Other (Write),Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,6,develop.or.adopt,Adoption,Other (Write),Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,6,adoption.category,Public Distrust,Other (Write),Barrier,0,NA
Chris,10.3389/fsufs.2023.1127164,Religion,,6,distrust.sources,Religious beliefs,Other (Write),Barrier,0,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,1,develop.or.adopt,Adoption,Abstract,Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,1,adoption.category,Public Distrust,Abstract,Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,1,distrust.sources,Unnatural perceptions,Abstract,Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,1,distrust.sources,Other (write),Abstract,Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,1,distrust.sources_13_TEXT,Improved Animal Welfare,Abstract,Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,2,opportunity.type,Livestock,Introduction,Opportunity,1,0.5
Chris,10.1016/j.livsci.2021.104705,Acceptance,,2,opportunity.type,Humans,Introduction,Opportunity,1,0.5
Chris,10.1016/j.livsci.2021.104705,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1016/j.livsci.2021.104705,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,develop.or.adopt,Adoption,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,develop.or.adopt,Adoption,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,adoption.category,Public Distrust,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,adoption.category,Cost or Willingness to Pay,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,adoption.category,Public Distrust,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,adoption.category,Cost or Willingness to Pay,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,Health Concerns,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,Safety Concerns,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,Non-specified concerns,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,Unnatural perceptions,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,poor Sensory Attributes,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,Health Concerns,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,Safety Concerns,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,Non-specified concerns,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,Unnatural perceptions,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,distrust.sources,poor Sensory Attributes,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,senses.distrust,not specified,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,senses.distrust,not specified,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,opportunity.type,the Environment,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,opportunity.type,the Environment,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,env.opps,Pollution,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,env.opps,Pollution,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,pollution,Air,Introduction,Barrier,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,3,pollution,Air,Introduction,Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,4,section_9_TEXT,Discussion and Conclusion,Other (Write),Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,4,opportunity.type,the Environment,Other (Write),Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,4,opportunity.type,Livestock,Other (Write),Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,4,opportunity.type,Humans,Other (Write),Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,4,env.opps,Non-specified,Other (Write),Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,4,Human.opps,Public Health,Other (Write),Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,4,Health.opps,Increasing Food Security,Other (Write),Opportunity,1,0
Chris,10.1016/j.livsci.2021.104705,Acceptance,,5,section_9_TEXT,Discussion and Conclusion,Other (Write),Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,5,develop.or.adopt,Adoption,Other (Write),Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,5,adoption.category,Public Distrust,Other (Write),Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,5,distrust.sources,Unnatural perceptions,Other (Write),Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,5,distrust.sources,poor Sensory Attributes,Other (Write),Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,5,distrust.sources,Other (write),Other (Write),Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,5,distrust.sources_13_TEXT,Distrust,Other (Write),Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,5,senses.distrust,not specified,Other (Write),Barrier,1,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,6,section_9_TEXT,Discussion and Conclusion,Other (Write),Barrier,1,-0.5
Chris,10.1016/j.livsci.2021.104705,Acceptance,,6,develop.or.adopt,Adoption,Other (Write),Barrier,1,-0.5
Chris,10.1016/j.livsci.2021.104705,Acceptance,,6,adoption.category,Public Distrust,Other (Write),Barrier,1,-0.5
Chris,10.1016/j.livsci.2021.104705,Acceptance,,6,distrust.sources,Non-specified concerns,Other (Write),Barrier,1,-0.5
Chris,10.1016/j.livsci.2021.104705,Acceptance,,7,section_9_TEXT,Discussion and Conclusion,Other (Write),Barrier,0.5,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,7,develop.or.adopt,Adoption,Other (Write),Barrier,0.5,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,7,adoption.category,Public Distrust,Other (Write),Barrier,0.5,NA
Chris,10.1016/j.livsci.2021.104705,Acceptance,,7,distrust.sources,it being unfamiliar,Other (Write),Barrier,0.5,NA
Chris,10.1016/j.MEATsci.2019.04.004,Acceptance,,1,develop.or.adopt,Adoption,Abstract,Barrier,0.5,NA
Chris,10.1016/j.MEATsci.2019.04.004,Acceptance,,1,adoption.category,Public Distrust,Abstract,Barrier,0.5,NA
Chris,10.1016/j.MEATsci.2019.04.004,Acceptance,,1,distrust.sources,Unnatural perceptions,Abstract,Barrier,0.5,NA
Chris,10.1016/j.MEATsci.2019.04.004,Acceptance,,2,opportunity.type,the Environment,Introduction,Opportunity,0.5,NA
