doi,themeID,group,section,existence,fulfillment
10.3390/foods13091358,Biodiversity Impacts,2,Introduction,1,0.5
10.22434/IFAMR2022.0017,Biodiversity Impacts,14,Results and Discussion,1,0.5
10.3389/fsufs.2024.1294390,Biodiversity Impacts,1,Introduction,1,NA
10.3390/su12114377,Biodiversity Impacts,4,Background,1,NA
10.3390/su12114377,Biodiversity Impacts,7,Conclusion,1,NA
10.3390/su12114377,Biodiversity Impacts,8,Conclusion,0,0
10.3389/fnut.2023.1196475,Biodiversity Impacts,5,Introduction,1,NA
10.3390/gels8020094,Biodiversity Impacts,3,Abstract,1,0
10.3390/gels8020094,Biodiversity Impacts,3,Introduction,1,0
10.3390/gels8020094,Biodiversity Impacts,3,Abstract,1,0.5
10.3390/gels8020094,Biodiversity Impacts,3,Introduction,1,0.5
10.1007/s11626-024-00971-7,Biodiversity Impacts,1,Introduction,1,0.5
10.1016/j.fufo.2024.100297,Biodiversity Impacts,3,Introduction,1,NA
10.1016/j.fufo.2024.100297,Biodiversity Impacts,4,Introduction,1,0.5
10.3828/extr.2022.11,Biodiversity Impacts,7,Other (Write),1,-0.5
10.3390/nu15214649,Biodiversity Impacts,2,Introduction,1,0.5
10.1111/faf.12541,Biodiversity Impacts,1,Abstract,1,-0.5
10.1111/faf.12541,Biodiversity Impacts,2,Introduction,0.5,NA
10.1111/faf.12541,Biodiversity Impacts,15,Discussion,1,0.5
10.3390/su141912501,Biodiversity Impacts,5,Introduction,1,1
10.1007/s11569-018-0330-0,Biodiversity Impacts,10,Discussion,1,NA
10.1108/BFJ-01-2018-0025,Biodiversity Impacts,2,Introduction,1,NA
10.3390/nu13041284,Biodiversity Impacts,3,Introduction,1,0.5
10.1038/s41538-021-00121-3,Biodiversity Impacts,3,Introduction,1,0.5
10.3390/foods10112537,Biodiversity Impacts,1,Abstract,1,0.5
10.1016/j.ijbiomac.2024.134242,Biodiversity Impacts,2,Introduction,1,0.5
10.1111/japp.12056,Biodiversity Impacts,4,Introduction,1,1
10.3390/su15129253,Biodiversity Impacts,1,Introduction,1,0.5
10.1152/ajpcell.00231.2024,Cell Maintenance,1,Abstract,1,0.5
10.1152/ajpcell.00231.2024,Cell Maintenance,2,Introduction,1,0.5
10.1152/ajpcell.00231.2024,Cell Maintenance,3,Discussion,1,0.5
10.1038/s41598-018-28746-7,Cell Maintenance,1,Abstract,1,0
10.1038/s41598-018-28746-7,Cell Maintenance,2,Abstract,1,0.5
10.1038/s41598-018-28746-7,Cell Maintenance,4,Introduction,1,0
10.1038/s41598-018-28746-7,Cell Maintenance,5,Introduction,1,0.5
10.1038/s41598-018-28746-7,Cell Maintenance,6,Discussion,1,0.5
10.1016/j.fbio.2022.101571,Cell Maintenance,1,Abstract,1,0.5
10.1016/j.fbio.2022.101571,Cell Maintenance,2,Introduction,1,NA
10.1016/j.fbio.2022.101571,Cell Maintenance,3,Discussion,0.5,0.5
10.1016/j.fbio.2022.101571,Cell Maintenance,5,Conclusion,1,0.5
10.3390/foods13040563,Cell Maintenance,5,Conclusion,0.5,0.5
10.1016/j.ifset.2024.103734,Cell Maintenance,9,Discussion,0.5,1
10.1016/j.ifset.2024.103734,Cell Maintenance,11,Conclusion,0.5,0.5
10.1016/j.crfs.2024.100841,Cell Maintenance,3,Introduction,1,NA
10.1016/j.crfs.2024.100841,Cell Maintenance,5,Introduction,1,NA
10.1016/j.crfs.2024.100841,Cell Maintenance,6,Discussion,1,NA
10.3390/foods13091358,Cell Maintenance,1,Abstract,1,0
10.1016/j.crbiot.2024.100241,Cell Maintenance,2,Results and Discussion,1,0.5
10.1016/j.devcel.2021.11.022,Cell Maintenance,1,Abstract,0,0.5
10.1016/j.devcel.2021.11.022,Cell Maintenance,4,Discussion,0,0.5
10.3390/foods12142645,Cell Maintenance,12,Discussion,1,0.5
10.3390/foods12142645,Cell Maintenance,12,Results and Discussion,1,0.5
10.3390/foods12142645,Cell Maintenance,12,Discussion,1,NA
10.3390/foods12142645,Cell Maintenance,12,Results and Discussion,1,NA
10.1111/faf.12541,Cell Maintenance,3,Body,1,NA
10.1007/s12015-023-10535-z,Cell Maintenance,2,Discussion,0.5,NA
10.1007/s12015-023-10535-z,Cell Maintenance,3,Conclusion,0,0.5
10.3390/foods12142682,Cell Maintenance,1,Abstract,1,0.5
10.3390/foods12142682,Cell Maintenance,3,Introduction,1,NA
10.3390/foods12142682,Cell Maintenance,5,Introduction,0.5,0.5
10.1016/j.foodhyd.2017.05.036,Cell Maintenance,2,Introduction,1,NA
10.3390/foods12142645,Cell Maintenance,9,Discussion,0.5,0.5
10.3390/foods12142645,Cell Maintenance,9,Results and Discussion,0.5,0.5
10.1038/s41598-024-59767-0,Cell Maintenance,1,Abstract,1,0.5
10.1038/s41598-024-59767-0,Cell Maintenance,2,Introduction,1,0.5
10.1038/s41598-024-59767-0,Cell Maintenance,3,Discussion,1,0.5
10.1038/s41598-024-59767-0,Cell Maintenance,4,Conclusion,1,0.5
10.1016/j.scitotenv.2022.158051,Cell Maintenance,8,Results and Discussion,1,NA
10.3390/jfb14040218,Cell Maintenance,1,Abstract,0.5,NA
10.3390/jfb14040218,Cell Maintenance,4,Introduction,1,0.5
10.3390/jfb14040218,Cell Maintenance,7,Conclusion,1,0.5
10.5851/kosfa.2020.e39,Cell Maintenance,1,Abstract,1,0.5
10.5851/kosfa.2020.e39,Cell Maintenance,3,Introduction,1,0.5
10.1016/j.ijbiomac.2024.134242,Cell Maintenance,4,Conclusion,1,0.5
10.1016/j.foodhyd.2024.110156,Cell Maintenance,4,Discussion,1,0.5
10.1016/j.heliyon.2024.e38006,Cell Maintenance,5,Discussion,1,NA
10.1002/bit.27469,Cell Maintenance,8,Results and Discussion,1,NA
10.1002/bit.27469,Cell Maintenance,10,Discussion,1,0.5
10.3390/ani12233328,Cell Maintenance,1,Abstract,1,0.5
10.3390/ani12233328,Cell Maintenance,2,Introduction,1,NA
10.3390/ani12233328,Cell Maintenance,3,Discussion,1,0.5
10.3390/ani12233328,Cell Maintenance,4,Conclusion,1,0.5
10.1038/s41467-023-44001-8,Cell Maintenance,1,Abstract,1,0.5
10.1038/s41467-023-44001-8,Cell Maintenance,4,Introduction,1,0.5
10.1038/s41467-023-44001-8,Cell Maintenance,6,Discussion,1,0.5
10.1038/s41538-019-0054-8,Cell Maintenance,6,Discussion,0.5,NA
10.3389/fsufs.2024.1341151,Cell Maintenance,5,Results and Discussion,1,0.5
10.3390/cells10092499,Cell Sources and Differentiation,2,Abstract,1,NA
10.3390/cells10092499,Cell Sources and Differentiation,3,Introduction,1,NA
10.1016/j.biomaterials.2022.121649,Cell Sources and Differentiation,4,Introduction,1,NA
10.3390/conservation3020021,Cell Sources and Differentiation,12,Discussion,0.5,NA
10.1016/j.biomaterials.2021.121155,Cell Sources and Differentiation,4,Introduction,1,NA
10.1016/j.crfs.2024.100841,Cell Sources and Differentiation,3,Introduction,1,NA
10.1016/j.crfs.2024.100841,Cell Sources and Differentiation,5,Introduction,1,NA
10.1016/j.crfs.2024.100841,Cell Sources and Differentiation,6,Discussion,1,NA
10.1016/j.crbiot.2024.100241,Cell Sources and Differentiation,2,Results and Discussion,1,0.5
10.1016/j.crbiot.2024.100241,Cell Sources and Differentiation,3,Conclusion,1,0.5
10.3389/fsufs.2023.1134100,Cell Sources and Differentiation,7,Other (Write),1,NA
10.3390/cells13020135,Cell Sources and Differentiation,2,Abstract,1,0.5
10.3390/cells13020135,Cell Sources and Differentiation,6,Conclusion,1,0.5
10.1007/s11626-024-00971-7,Cell Sources and Differentiation,2,Introduction,1,NA
10.1007/s11626-024-00971-7,Cell Sources and Differentiation,3,Discussion,1,0.5
10.1007/s11626-024-00971-7,Cell Sources and Differentiation,6,Conclusion,1,0.5
10.3389/fnut.2023.1197111,Cell Sources and Differentiation,3,Introduction,0.5,NA
10.1016/j.scitotenv.2023.164988,Cell Sources and Differentiation,5,Conclusion,0,0.5
10.1111/faf.12541,Cell Sources and Differentiation,3,Body,1,NA
10.1111/faf.12541,Cell Sources and Differentiation,6,Body,1,NA
10.1016/j.foodres.2022.111561,Cell Sources and Differentiation,1,Abstract,1,0.5
10.1016/j.foodres.2022.111561,Cell Sources and Differentiation,3,Introduction,1,0.5
10.1039/d1fo04340d,Cell Sources and Differentiation,2,Introduction,1,0.5
10.1016/j.foodhyd.2022.107632,Cell Sources and Differentiation,4,Introduction,1,NA
10.1007/s12015-023-10535-z,Cell Sources and Differentiation,2,Discussion,0.5,NA
10.3390/foods12142682,Cell Sources and Differentiation,4,Introduction,0.5,0.5
10.3390/foods12142645,Cell Sources and Differentiation,9,Discussion,0.5,0.5
10.3390/foods12142645,Cell Sources and Differentiation,9,Results and Discussion,0.5,0.5
10.1016/j.foodres.2022.111952,Cell Sources and Differentiation,3,Introduction,1,0.5
10.1016/j.foodres.2022.111952,Cell Sources and Differentiation,4,Conclusion,1,0.5
10.1038/s41598-024-59767-0,Cell Sources and Differentiation,1,Abstract,1,0.5
10.1038/s41598-024-59767-0,Cell Sources and Differentiation,2,Introduction,1,0.5
10.1038/s41598-024-59767-0,Cell Sources and Differentiation,3,Discussion,1,0.5
10.1038/s41598-024-59767-0,Cell Sources and Differentiation,4,Conclusion,1,0.5
10.3389/fsufs.2019.00128,Cell Sources and Differentiation,7,Body,1,NA
10.1016/j.scitotenv.2022.158051,Cell Sources and Differentiation,8,Results and Discussion,1,NA
10.1016/j.scitotenv.2022.158051,Cell Sources and Differentiation,13,Conclusion,1,NA
10.1016/j.fbio.2024.103819,Cell Sources and Differentiation,2,Conclusion,1,NA
10.3390/jfb14040218,Cell Sources and Differentiation,4,Introduction,1,0.5
10.5851/kosfa.2024.e27,Cell Sources and Differentiation,3,Introduction,1,0.5
10.1016/j.biomaterials.2021.121267,Cell Sources and Differentiation,1,Introduction,1,0
10.1016/j.biomaterials.2022.121602,Cell Sources and Differentiation,1,Abstract,1,0.5
10.1016/j.heliyon.2024.e38006,Cell Sources and Differentiation,1,Abstract,1,0.5
10.1016/j.heliyon.2024.e38006,Cell Sources and Differentiation,4,Introduction,1,0.5
10.5851/kosfa.2024.e72,Cell Sources and Differentiation,2,Introduction,1,0.5
10.5851/kosfa.2024.e72,Cell Sources and Differentiation,3,Results and Discussion,1,0.5
10.3390/foods11213364,Cell Sources and Differentiation,3,Conclusion,0.5,0.5
10.1038/s41598-024-68247-4,Cell Sources and Differentiation,4,Discussion,1,NA
10.1016/j.biomaterials.2022.121543,Cell Sources and Differentiation,2,Introduction,1,NA
10.1038/s41467-021-25236-9,Cell Sources and Differentiation,4,Discussion,1,NA
10.1002/bit.27469,Cell Sources and Differentiation,10,Discussion,1,0.5
10.3390/ani12233328,Cell Sources and Differentiation,1,Abstract,1,0.5
10.3390/ani12233328,Cell Sources and Differentiation,2,Introduction,1,NA
10.3390/ani12233328,Cell Sources and Differentiation,3,Discussion,1,0.5
10.3390/ani12233328,Cell Sources and Differentiation,4,Conclusion,1,0.5
10.1038/s41467-023-44001-8,Cell Sources and Differentiation,3,Introduction,1,NA
10.1038/s41467-023-44001-8,Cell Sources and Differentiation,6,Discussion,1,0.5
10.1038/s41538-024-00257-y,Cell Sources and Differentiation,5,Discussion,1,NA
10.1016/j.fbio.2022.101766,Cell Sources and Differentiation,1,Abstract,1,0.5
10.1016/j.fbio.2022.101766,Cell Sources and Differentiation,3,Introduction,1,0.5
10.1016/j.fbio.2022.101766,Cell Sources and Differentiation,4,Discussion,1,NA
10.1016/j.fbio.2022.101766,Cell Sources and Differentiation,5,Discussion,1,0.5
10.1016/j.fbio.2022.101766,Cell Sources and Differentiation,6,Conclusion,1,0.5
10.1016/j.bbrc.2023.10.018,Cell Sources and Differentiation,2,Abstract,1,0.5
10.1016/j.bbrc.2023.10.018,Cell Sources and Differentiation,5,Results and Discussion,1,0.5
10.1038/s41538-019-0054-8,Cell Sources and Differentiation,6,Discussion,0.5,NA
10.3390/biom12060838,Cell Sources and Differentiation,4,Introduction,1,NA
10.3389/fsufs.2024.1341151,Cell Sources and Differentiation,5,Results and Discussion,1,0.5
10.3389/fsufs.2024.1341151,Cell Sources and Differentiation,6,Conclusion,1,0.5
10.1021/acs.jafc.3c06919,Cell Sources and Differentiation,1,Abstract,1,NA
10.1021/acs.jafc.3c06919,Cell Sources and Differentiation,3,Introduction,1,0.5
10.1021/acs.jafc.3c06919,Cell Sources and Differentiation,4,Discussion,1,0.5
10.1038/s41538-019-0041-0,Chronic Disease Preevention,4,Introduction,1,0
10.1016/j.appet.2022.106392,Chronic Disease Preevention,2,Introduction,1,0.5
10.1016/j.appet.2022.106392,Chronic Disease Preevention,8,Conclusion,0.5,0
10.1016/j.foodpol.2020.101931,Chronic Disease Preevention,3,Introduction,0.5,0.5
10.3390/cells13010041,Chronic Disease Preevention,2,Abstract,1,0.5
10.3390/cells13010041,Chronic Disease Preevention,3,Introduction,1,0.5
10.1007/s10806-019-09759-2,Chronic Disease Preevention,5,Other (Write),1,-1
10.3390/cells13010041,Chronic Disease Preevention,7,Conclusion,1,0.5
10.1016/j.foodpol.2022.102307,Chronic Disease Preevention,3,Introduction,1,0.5
10.1016/j.foodpol.2022.102307,Chronic Disease Preevention,5,Conclusion,1,NA
10.1186/s40100-023-00278-3,Chronic Disease Preevention,2,Introduction,1,NA
10.1002/fft2.165,Chronic Disease Preevention,2,Introduction,0.5,0.5
10.1007/s11569-018-0330-0,Chronic Disease Preevention,7,Discussion,0,NA
10.1016/j.MEATsci.2022.108964,Chronic Disease Preevention,1,Introduction,0.5,NA
10.1177/2514848620963125,Chronic Disease Preevention,2,Body,1,0.5
10.1016/j.foodhyd.2024.110156,Chronic Disease Preevention,1,Introduction,1,0.5
10.1016/j.foodhyd.2024.110156,Chronic Disease Preevention,3,Discussion,1,NA
10.1080/00036846.2024.2408035,Chronic Disease Preevention,5,Introduction,1,0.5
10.1007/s10943-017-0403-3,Chronic Disease Preevention,6,Background,1,1
10.1016/j.foodpol.2022.102376,Chronic Disease Preevention,6,Background,0.5,0.5
10.1016/j.MEATsci.2019.04.004,Climate Change Impacts,2,Introduction,0.5,NA
10.3389/fsufs.2023.1160458,Climate Change Impacts,2,Introduction,0.5,0.5
10.3389/fsufs.2023.1160458,Climate Change Impacts,2,Introduction,1,0
10.3389/fsufs.2023.1160458,Climate Change Impacts,11,Other (Write),0.5,-0.5
10.1038/s41538-019-0041-0,Climate Change Impacts,4,Introduction,1,0
10.1016/j.techsoc.2022.102116,Climate Change Impacts,6,Conclusion,1,0.5
10.1038/s41538-022-00157-z,Climate Change Impacts,2,Introduction,1,0.5
10.3390/foods10112588,Climate Change Impacts,2,Introduction,1,0
10.1016/S2095-3119(14)60886-8,Climate Change Impacts,1,Abstract,1,0.5
10.1016/S2095-3119(14)60886-8,Climate Change Impacts,3,Introduction,1,1
10.1016/S2095-3119(14)60886-8,Climate Change Impacts,9,Conclusion,1,0
10.3390/nu11081904,Climate Change Impacts,3,Introduction,1,0.5
10.3390/bios14010024,Climate Change Impacts,1,Introduction,1,0.5
10.3390/conservation3020021,Climate Change Impacts,3,Introduction,1,0.5
10.3390/conservation3020021,Climate Change Impacts,7,Discussion,1,0.5
10.3390/conservation3020021,Climate Change Impacts,14,Conclusion,1,0.5
10.1016/j.meatsci.2019.04.004,Climate Change Impacts,2,Introduction,1,1
10.3389/fnut.2020.00148,Climate Change Impacts,3,Introduction,1,0.5
10.3389/fnut.2020.00148,Climate Change Impacts,11,Conclusion,1,NA
10.1016/j.biomaterials.2021.121155,Climate Change Impacts,2,Introduction,1,NA
10.3390/foods13091358,Climate Change Impacts,2,Introduction,1,0.5
10.3389/fsufs.2023.1104731,Climate Change Impacts,5,Other (Write),1,0.5
10.3389/fsufs.2023.1104731,Climate Change Impacts,12,Discussion,1,-0.5
10.3389/fsufs.2023.1134100,Climate Change Impacts,1,Abstract,1,NA
10.3389/fsufs.2023.1134100,Climate Change Impacts,2,Introduction,1,0.5
10.3389/fsufs.2023.1134100,Climate Change Impacts,6,Other (Write),1,NA
10.3389/fsufs.2023.1134100,Climate Change Impacts,9,Conclusion,1,NA
10.22434/IFAMR2022.0017,Climate Change Impacts,11,Results and Discussion,1,0.5
10.22434/IFAMR2022.0017,Climate Change Impacts,14,Results and Discussion,1,0.5
10.3389/fsufs.2024.1294390,Climate Change Impacts,1,Introduction,1,NA
10.3389/fnut.2023.1196475,Climate Change Impacts,5,Introduction,1,NA
10.3390/cells13020135,Climate Change Impacts,3,Introduction,1,NA
10.1007/s11626-024-00971-7,Climate Change Impacts,1,Introduction,1,0.5
10.1021/acsami.2c10620,Climate Change Impacts,2,Introduction,1,0.5
10.3828/extr.2022.11,Climate Change Impacts,12,Conclusion,1,NA
10.3390/nu15214649,Climate Change Impacts,3,Discussion,1,0.5
10.3390/bioengineering11080854,Climate Change Impacts,2,Introduction,1,0.5
10.3390/bioengineering11080854,Climate Change Impacts,3,Discussion,1,0.5
10.1111/faf.12541,Climate Change Impacts,15,Discussion,1,0.5
10.3390/su141912501,Climate Change Impacts,3,Introduction,1,0.5
10.3389/fsufs.2023.1302511,Climate Change Impacts,2,Introduction,1,NA
10.1016/j.foodhyd.2024.110369,Climate Change Impacts,3,Introduction,1,1
10.1007/s11569-018-0330-0,Climate Change Impacts,10,Discussion,1,NA
10.1177/0963662516639001,Climate Change Impacts,1,Body,0.5,0.5
10.3390/su13158235,Climate Change Impacts,2,Introduction,1,0.5
10.3390/su13158235,Climate Change Impacts,4,Introduction,0.5,NA
10.3389/fcell.2023.1193634,Climate Change Impacts,2,Introduction,1,0.5
10.3390/nu15132935,Climate Change Impacts,2,Introduction,1,0.5
10.1016/j.biomaterials.2022.121669,Climate Change Impacts,2,Introduction,1,0.5
10.1080/22041451.2024.2324405,Climate Change Impacts,1,Abstract,1,0
10.1080/22041451.2024.2324405,Climate Change Impacts,3,Introduction,1,0.5
10.1016/j.foodcont.2021.108336,Climate Change Impacts,7,Other (Write),0.5,NA
10.1016/j.scitotenv.2022.158051,Climate Change Impacts,4,Introduction,1,0.5
10.1038/s41538-022-00155-1,Climate Change Impacts,3,Introduction,1,NA
10.1080/01292986.2024.2342827,Climate Change Impacts,2,Introduction,1,0.5
10.1111/ajsp.12609,Climate Change Impacts,2,Introduction,1,0.5
10.1016/j.heliyon.2024.e38006,Climate Change Impacts,2,Introduction,1,0.5
10.1057/s41599-022-01316-z,Climate Change Impacts,3,Introduction,1,1
10.1002/bit.27848,Climate Change Impacts,1,Introduction,1,NA
10.1007/s12571-023-01390-4,Climate Change Impacts,2,Introduction,1,0.5
10.1038/s41467-023-44001-8,Climate Change Impacts,2,Introduction,1,0.5
10.3390/foods11193037,Climate Change Impacts,1,Abstract,1,0.5
10.3390/foods11193037,Climate Change Impacts,2,Introduction,1,0.5
10.1016/j.biomaterials.2021.121107,Climate Change Impacts,2,Introduction,1,NA
10.3390/biom12060838,Climate Change Impacts,2,Introduction,1,NA
10.1177/2514848619827009,Climate Change Impacts,1,Introduction,1,1
10.1016/j.jfca.2024.106663,Cost or Willingness to Pay,3,Introduction,1,0.5
10.1002/bit.28324,Cost or Willingness to Pay,2,Abstract,1,0
10.1002/bit.28324,Cost or Willingness to Pay,4,Introduction,1,0
10.1002/bit.28324,Cost or Willingness to Pay,5,Results and Discussion,1,0
10.1002/bit.28324,Cost or Willingness to Pay,7,Conclusion,1,0
10.1016/j.livsci.2021.104705,Cost or Willingness to Pay,3,Introduction,1,0
10.1016/j.MEATsci.2019.04.004,Cost or Willingness to Pay,5,Introduction,1,NA
10.3389/fsufs.2023.1160458,Cost or Willingness to Pay,7,Other (Write),0.5,NA
10.3390/su13137430,Cost or Willingness to Pay,8,Results and Discussion,1,NA
10.1038/s41538-019-0041-0,Cost or Willingness to Pay,2,Abstract,0.5,0
10.1038/s41538-019-0041-0,Cost or Willingness to Pay,3,Abstract,1,-0.5
10.1038/s41538-019-0041-0,Cost or Willingness to Pay,7,Results and Discussion,1,0.5
10.1038/s41538-019-0041-0,Cost or Willingness to Pay,8,Results and Discussion,1,0
10.1038/s41538-019-0041-0,Cost or Willingness to Pay,18,Results and Discussion,1,-0.5
10.1016/j.cej.2022.137455,Cost or Willingness to Pay,2,Introduction,1,0
10.1016/j.techsoc.2022.102116,Cost or Willingness to Pay,3,Other (Write),0.5,NA
10.1016/j.techsoc.2022.102116,Cost or Willingness to Pay,4,Discussion,0.5,NA
10.1016/j.appet.2022.106392,Cost or Willingness to Pay,5,Results and Discussion,0.5,0
10.1016/j.foodpol.2020.101931,Cost or Willingness to Pay,1,Abstract,0.5,-0.5
10.1016/j.foodpol.2020.101931,Cost or Willingness to Pay,5,Background,1,0.5
10.1016/j.foodpol.2020.101931,Cost or Willingness to Pay,9,Results and Discussion,1,-0.5
10.1007/s10806-017-9654-y,Cost or Willingness to Pay,2,Other (Write),0.5,-0.5
10.1371/journal.pone.0290169,Cost or Willingness to Pay,3,Abstract,1,0
10.1080/13669877.2020.1871057,Cost or Willingness to Pay,1,Discussion,1,1
10.3390/nu11081904,Cost or Willingness to Pay,2,Abstract,1,NA
10.1016/j.ifset.2024.103734,Cost or Willingness to Pay,2,Abstract,1,0
10.1016/j.ifset.2024.103734,Cost or Willingness to Pay,3,Abstract,0.5,1
10.1016/j.ifset.2024.103734,Cost or Willingness to Pay,6,Introduction,1,0.5
10.1016/j.ifset.2024.103734,Cost or Willingness to Pay,9,Discussion,0.5,1
10.1016/j.ifset.2024.103734,Cost or Willingness to Pay,10,Conclusion,0.5,1
10.1016/j.foodhyd.2024.109944,Cost or Willingness to Pay,2,Introduction,1,0.5
10.1016/j.livsci.2022.104909,Cost or Willingness to Pay,1,Abstract,1,NA
10.1016/j.livsci.2022.104909,Cost or Willingness to Pay,4,Discussion,1,NA
10.1016/j.livsci.2022.104909,Cost or Willingness to Pay,6,Conclusion,1,NA
10.1016/j.livsci.2021.104705,Cost or Willingness to Pay,5,Introduction,0.5,NA
10.1016/j.livsci.2021.104705,Cost or Willingness to Pay,6,Introduction,0.5,NA
10.1016/j.meatsci.2019.04.004,Cost or Willingness to Pay,3,Introduction,1,0
10.3390/su13137430,Cost or Willingness to Pay,5,Introduction,0.5,0
10.1016/j.biomaterials.2021.121155,Cost or Willingness to Pay,4,Introduction,1,NA
10.3389/fbioe.2023.1202165,Cost or Willingness to Pay,2,Conclusion,0.5,1
10.1016/j.appet.2020.104860,Cost or Willingness to Pay,3,Introduction,1,0.5
10.1016/j.appet.2020.104860,Cost or Willingness to Pay,4,Discussion,1,0.5
10.3389/fsufs.2023.1134100,Cost or Willingness to Pay,5,Introduction,1,NA
10.3389/fsufs.2023.1134100,Cost or Willingness to Pay,7,Other (Write),1,NA
10.3389/fsufs.2023.1134100,Cost or Willingness to Pay,9,Conclusion,1,NA
10.22434/IFAMR2022.0017,Cost or Willingness to Pay,7,Introduction,1,0
10.22434/IFAMR2022.0017,Cost or Willingness to Pay,12,Results and Discussion,1,NA
10.22434/IFAMR2022.0017,Cost or Willingness to Pay,16,Results and Discussion,-0.5,0.5
10.22434/IFAMR2022.0017,Cost or Willingness to Pay,17,Results and Discussion,1,0
10.3390/su12114377,Cost or Willingness to Pay,2,Abstract,1,0.5
10.3390/su12114377,Cost or Willingness to Pay,3,Introduction,1,0.5
10.3390/su12114377,Cost or Willingness to Pay,6,Discussion,1,0
10.3390/su12114377,Cost or Willingness to Pay,7,Conclusion,1,NA
10.3389/fnut.2023.1196475,Cost or Willingness to Pay,6,Other (Write),1,0.5
10.3389/fsufs.2022.1056615,Cost or Willingness to Pay,2,Results and Discussion,0.5,NA
10.3389/fsufs.2022.1056615,Cost or Willingness to Pay,3,Results and Discussion,1,NA
10.1007/s10806-015-9573-8,Cost or Willingness to Pay,8,Background,1,NA
10.3390/cells13020135,Cost or Willingness to Pay,5,Introduction,1,0.5
10.1108/BFJ-09-2021-0987,Cost or Willingness to Pay,2,Abstract,1,NA
10.1108/BFJ-09-2021-0987,Cost or Willingness to Pay,4,Introduction,1,1
10.1108/BFJ-09-2021-0987,Cost or Willingness to Pay,7,Background,1,NA
10.1108/BFJ-09-2021-0987,Cost or Willingness to Pay,9,Results and Discussion,0.5,NA
10.1108/BFJ-09-2021-0987,Cost or Willingness to Pay,10,Conclusion,1,NA
10.1016/j.foodqual.2024.105208,Cost or Willingness to Pay,4,Introduction,1,NA
10.1016/j.foodqual.2024.105208,Cost or Willingness to Pay,10,Discussion,0.5,0.5
10.1111/faf.12541,Cost or Willingness to Pay,8,Body,1,0
10.1111/faf.12541,Cost or Willingness to Pay,13,Discussion,1,-0.5
10.3390/su141912501,Cost or Willingness to Pay,4,Introduction,1,NA
10.3389/fsufs.2023.1302511,Cost or Willingness to Pay,3,Other (Write),1,NA
10.3389/fsufs.2023.1302511,Cost or Willingness to Pay,7,Conclusion,1,NA
10.1007/s11569-018-0330-0,Cost or Willingness to Pay,4,Introduction,1,NA
10.1016/j.foodqual.2024.105102,Cost or Willingness to Pay,4,Discussion,0.5,NA
10.1371/journal.pone.0251432,Cost or Willingness to Pay,4,Introduction,0.5,NA
