doi,title,url,publisherID,journalID,dateCreated,references,referencedBy,funder_name,funder_doi,aim
10.1016/j.foodres.2023.113617,Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat,https://doi.org/10.1016/j.foodres.2023.113617,Elsevier BV,Food Research International,2023-10-24,52,25,"Korea Institute of Planning and Evaluation for Technology in Food, Agriculture, Forestry and Fisheries",10.13039/501100003668,Media
10.1016/j.foodres.2023.113617,Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat,https://doi.org/10.1016/j.foodres.2023.113617,Elsevier BV,Food Research International,2023-10-24,52,25,"Ministry of Agriculture, Food and Rural Affairs",10.13039/501100003624,Media
10.1021/acs.jafc.3c06638,Genipin Activates Autophagy and Promotes Myoblast Differentiation by Activating AMPK Pathway,https://doi.org/10.1021/acs.jafc.3c06638,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2024-05-29,50,0,The Starry Night Science Fund of Zhejiang University Shanghai Institute for Advanced Study,NA,Cell Differentiation
10.1371/journal.pone.0290169,Modelling consumers’ choice of novel food,https://doi.org/10.1371/journal.pone.0290169,Public Library of Science (PLoS),PLOS ONE,2023-08-28,54,11,New Harvest,10.13039/100019411,Performance
10.3390/cells13010041,Derivation and Characterization of Novel Cytocompatible Decellularized Tissue Scaffold for Myoblast Growth and Differentiation,https://doi.org/10.3390/cells13010041,MDPI AG,Cells,2023-12-25,51,8,"SERB, Govt. of India",10.13039/501100001843,Scaffolding
10.3390/foods13040563,Effect of Crude Polysaccharides from Ecklonia cava Hydrolysate on Cell Proliferation and Differentiation of Hanwoo Muscle Stem Cells for Cultured Meat Production,https://doi.org/10.3390/foods13040563,MDPI AG,Foods,2024-02-13,46,1,Korea Food Research Institute (KFRI),NA,Media
10.3390/foods13040563,Effect of Crude Polysaccharides from Ecklonia cava Hydrolysate on Cell Proliferation and Differentiation of Hanwoo Muscle Stem Cells for Cultured Meat Production,https://doi.org/10.3390/foods13040563,MDPI AG,Foods,2024-02-13,46,1,Korea Food Research Institute (KFRI),NA,Cell Differentiation
10.1038/s41538-022-00172-0,Nomenclature of cell-cultivated meat &amp; seafood products,https://doi.org/10.1038/s41538-022-00172-0,Springer Science and Business Media LLC,npj Science of Food,2022-12-10,59,27,"Wild Type, a United States-based cell-cultivated fish company commissioned this work",NA,Acceptance
10.1038/s41538-022-00172-0,Nomenclature of cell-cultivated meat &amp; seafood products,https://doi.org/10.1038/s41538-022-00172-0,Springer Science and Business Media LLC,npj Science of Food,2022-12-10,59,27,Wild Type commissioned this work.,NA,Acceptance
10.1038/s41538-022-00157-z,Spent media analysis suggests cultivated meat media will require species and cell type optimization,https://doi.org/10.1038/s41538-022-00157-z,Springer Science and Business Media LLC,npj Science of Food,2022-09-29,41,37,National Science Foundation,10.13039/100000001,Media
10.5851/kosfa.2022.e61,Optimal Pre-Plating Method of Chicken Satellite Cells for Cultured Meat Production,https://doi.org/10.5851/kosfa.2022.e61,Korean Society for Food Science of Animal Resources,Food Science of Animal Resources,2022-10-20,29,17,National Research Foundation of Korea,10.13039/501100003725,Cell Differentiation
10.3390/cells10092499,Isolation and Characterization of Tissue Resident CD29-Positive Progenitor Cells in Livestock to Generate a Three-Dimensional Meat Bud,https://doi.org/10.3390/cells10092499,MDPI AG,Cells,2021-09-21,20,15,JST-Mirai Program,10.13039/501100020959,Cell Sources
10.3390/cells10092499,Isolation and Characterization of Tissue Resident CD29-Positive Progenitor Cells in Livestock to Generate a Three-Dimensional Meat Bud,https://doi.org/10.3390/cells10092499,MDPI AG,Cells,2021-09-21,20,15,Japan Society for the Promotion of Science,10.13039/501100001691,Cell Sources
10.5851/kosfa.2024.e46,"Comparison of Soy and Pea Protein for Cultured Meat Scaffolds:
                    Evaluating Gelation, Physical Properties, and Cell Adhesion",https://doi.org/10.5851/kosfa.2024.e46,Korean Society for Food Science of Animal Resources,Food Science of Animal Resources,2024-07-10,64,6,"Ministry of Agriculture, Food and Rural
                                Affairs",10.13039/501100003624,Scaffolding
10.1016/j.foodqual.2021.104226,"Information, attitudes, and consumer evaluations of cultivated meat",https://doi.org/10.1016/j.foodqual.2021.104226,Elsevier BV,Food Quality and Preference,2021-03-09,73,49,North Rhine-Westphalia State Ministry of Innovation Science Research and Technology,10.13039/501100014690,Acceptance
10.1021/acsabm.3c00944,Whey Protein Isolate Composites as Potential Scaffolds for Cultivated Meat,https://doi.org/10.1021/acsabm.3c00944,American Chemical Society (ACS),ACS Applied Bio Materials,2024-03-19,68,3,New Harvest,10.13039/100019411,Scaffolding
10.1021/acsabm.3c00944,Whey Protein Isolate Composites as Potential Scaffolds for Cultivated Meat,https://doi.org/10.1021/acsabm.3c00944,American Chemical Society (ACS),ACS Applied Bio Materials,2024-03-19,68,3,University of Vermont,10.13039/100010941,Scaffolding
10.3390/nu11081904,"Older Consumers’ Readiness to Accept Alternative, More Sustainable Protein Sources in the European Union",https://doi.org/10.3390/nu11081904,MDPI AG,Nutrients,2019-08-15,63,182,European Commission,10.13039/501100000780,Acceptance
10.1038/s41538-024-00262-1,Decellularised plant scaffolds facilitate porcine skeletal muscle tissue engineering for cultivated meat biomanufacturing,https://doi.org/10.1038/s41538-024-00262-1,Springer Science and Business Media LLC,npj Science of Food,2024-05-03,47,13,"Agency for Science, Technology and Research",10.13039/501100001348,Scaffolding
10.3390/bios14010024,Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment,https://doi.org/10.3390/bios14010024,MDPI AG,Biosensors,2023-12-31,39,3,Korea Food Research Institute,10.13039/501100003712,Media
10.3390/bios14010024,Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment,https://doi.org/10.3390/bios14010024,MDPI AG,Biosensors,2023-12-31,39,3,"Ministry of Trade, Industry and Energy (MOTIE, Korea)",NA,Media
10.1016/j.foodhyd.2024.109944,Animal-free scaffold from brown algae provides a three-dimensional cell growth and differentiation environment for steak-like cultivated meat,https://doi.org/10.1016/j.foodhyd.2024.109944,Elsevier BV,Food Hydrocolloids,2024-02-26,70,17,Korea Institute of Planning and Evaluation for Technology in Food Agriculture Forestry and Fisheries,10.13039/501100003668,Scaffolding
10.1016/j.foodhyd.2024.109944,Animal-free scaffold from brown algae provides a three-dimensional cell growth and differentiation environment for steak-like cultivated meat,https://doi.org/10.1016/j.foodhyd.2024.109944,Elsevier BV,Food Hydrocolloids,2024-02-26,70,17,Korea Institute of Marine Science and Technology Promotion,10.13039/501100011705,Scaffolding
10.1016/j.biomaterials.2022.121649,Harvest of quality-controlled bovine myogenic cells and biomimetic bovine muscle tissue engineering for sustainable meat production,https://doi.org/10.1016/j.biomaterials.2022.121649,Elsevier BV,Biomaterials,2022-06-25,53,32,JST-Mirai Program,10.13039/501100020959,Process
10.1080/09505431.2018.1544232,Many Meats and Many Milks? The Ontological Politics of a Proposed Post-animal Revolution,https://doi.org/10.1080/09505431.2018.1544232,Informa UK Limited,Science as Culture,2018-11-24,59,46,Formas,10.13039/501100001862,Ethics
10.1080/09505431.2018.1544232,Many Meats and Many Milks? The Ontological Politics of a Proposed Post-animal Revolution,https://doi.org/10.1080/09505431.2018.1544232,Informa UK Limited,Science as Culture,2018-11-24,59,46,"Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning",10.13039/501100001862,Ethics
10.1016/j.meatsci.2019.04.004,Strategies for overcoming aversion to unnaturalness: The case of clean meat,https://doi.org/10.1016/j.meatsci.2019.04.004,Elsevier BV,Meat Science,2019-04-04,51,91,Animal Advocacy Research Fund,NA,Acceptance
10.1016/j.biomaterials.2021.121155,Gelatin MAGIC powder as nutrient-delivering 3D spacer for growing cell sheets into cost-effective cultured meat,https://doi.org/10.1016/j.biomaterials.2021.121155,Elsevier BV,Biomaterials,2021-09-28,43,53,"Ministry of Trade, Industry and Energy",10.13039/501100003052,Media
10.1016/j.biomaterials.2021.121155,Gelatin MAGIC powder as nutrient-delivering 3D spacer for growing cell sheets into cost-effective cultured meat,https://doi.org/10.1016/j.biomaterials.2021.121155,Elsevier BV,Biomaterials,2021-09-28,43,53,National Research Foundation of Korea,10.13039/501100003725,Media
10.1016/j.biomaterials.2021.121155,Gelatin MAGIC powder as nutrient-delivering 3D spacer for growing cell sheets into cost-effective cultured meat,https://doi.org/10.1016/j.biomaterials.2021.121155,Elsevier BV,Biomaterials,2021-09-28,43,53,"Ministry of Science and ICT, South Korea",10.13039/501100014188,Media
10.1021/acsami.4c03585,Nanostarch-Stimulated Cell Adhesion in 3D Bioprinted Hydrogel Scaffolds for Cell Cultured Meat,https://doi.org/10.1021/acsami.4c03585,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2024-04-29,46,1,Zhejiang University,10.13039/501100004835,Scaffolding
10.1021/acsami.4c03585,Nanostarch-Stimulated Cell Adhesion in 3D Bioprinted Hydrogel Scaffolds for Cell Cultured Meat,https://doi.org/10.1021/acsami.4c03585,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2024-04-29,46,1,National Key Research and Development Program of China,10.13039/501100012166,Scaffolding
10.1021/acsami.4c03585,Nanostarch-Stimulated Cell Adhesion in 3D Bioprinted Hydrogel Scaffolds for Cell Cultured Meat,https://doi.org/10.1021/acsami.4c03585,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2024-04-29,46,1,National Natural Science Foundation of China,10.13039/501100001809,Scaffolding
10.1021/acsami.4c03585,Nanostarch-Stimulated Cell Adhesion in 3D Bioprinted Hydrogel Scaffolds for Cell Cultured Meat,https://doi.org/10.1021/acsami.4c03585,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2024-04-29,46,1,Natural Science Foundation of Zhejiang Province,10.13039/501100004731,Scaffolding
10.1016/j.appet.2020.104860,Consumer perceptions of conventional and alternative protein sources: A mixed-methods approach with meal and product framing,https://doi.org/10.1016/j.appet.2020.104860,Elsevier BV,Appetite,2020-09-08,45,83,Fundação para a Ciência e a Tecnologia,10.13039/501100001871,Acceptance
10.1016/j.crfs.2024.100841,"Advances in development of long-term embryonic stem cell-like cultures from a marine fish, Sciaenops ocellatus",https://doi.org/10.1016/j.crfs.2024.100841,Elsevier BV,Current Research in Food Science,2024-09-13,38,2,Good Food Institute,10.13039/100020002,Cell Sources
10.1038/s41467-023-44359-9,Cultured meat with enriched organoleptic properties by regulating cell differentiation,https://doi.org/10.1038/s41467-023-44359-9,Springer Science and Business Media LLC,Nature Communications,2024-01-02,59,44,"Ministry of Trade, Industry and Energy",10.13039/501100003052,Cell Differentiation
10.1038/s41467-023-44359-9,Cultured meat with enriched organoleptic properties by regulating cell differentiation,https://doi.org/10.1038/s41467-023-44359-9,Springer Science and Business Media LLC,Nature Communications,2024-01-02,59,44,National Research Foundation of Korea,10.13039/501100003725,Cell Differentiation
10.1038/s41467-023-44359-9,Cultured meat with enriched organoleptic properties by regulating cell differentiation,https://doi.org/10.1038/s41467-023-44359-9,Springer Science and Business Media LLC,Nature Communications,2024-01-02,59,44,"Ministry of National Defense, Republic of Korea | Defense Acquisition Program Administration",10.13039/501100003626,Cell Differentiation
10.3390/foods13091358,"Production of Plant-Based, Film-Type Scaffolds Using Alginate and Corn Starch for the Culture of Bovine Myoblasts",https://doi.org/10.3390/foods13091358,MDPI AG,Foods,2024-04-29,49,7,"Ministry of Agriculture, Food and Rural Affairs (MAFRA)",10.13039/501100003624,Scaffolding
10.3390/foods13091358,"Production of Plant-Based, Film-Type Scaffolds Using Alginate and Corn Starch for the Culture of Bovine Myoblasts",https://doi.org/10.3390/foods13091358,MDPI AG,Foods,2024-04-29,49,7,Korean Fund for Regenerative Medicine (KFRM),NA,Scaffolding
10.1016/j.eist.2024.100871,Creating legitimacy for cultured meat in Germany: The role of social cohesion,https://doi.org/10.1016/j.eist.2024.100871,Elsevier BV,Environmental Innovation and Societal Transitions,2024-07-03,54,1,Berlin University Alliance,10.13039/501100021727,Education
10.1016/j.crbiot.2024.100241,Comparative evaluation of myogenic potential of purebred chicken muscle stem cells,https://doi.org/10.1016/j.crbiot.2024.100241,Elsevier BV,Current Research in Biotechnology,2024-07-25,34,1,Korea Evaluation Institute of Industrial Technology,10.13039/501100003662,Cell Sources
10.1016/j.crbiot.2024.100241,Comparative evaluation of myogenic potential of purebred chicken muscle stem cells,https://doi.org/10.1016/j.crbiot.2024.100241,Elsevier BV,Current Research in Biotechnology,2024-07-25,34,1,National Research Foundation of Korea,10.13039/501100003725,Cell Sources
10.3390/foods12142645,Cultured Meat Safety Research Priorities: Regulatory and Governmental Perspectives,https://doi.org/10.3390/foods12142645,MDPI AG,Foods,2023-07-10,115,14,"Soroush Pour, Lejjy Gafour, Andras Forgacs, Gabor Forgacs, Kristin Ellis who donated to this in-itiative as individuals, and 22 companies and investors who donated as corporate donors.",NA,Regulations
10.3390/su12114377,Is India Ready for Alt-Meat? Preferences and Willingness to Pay for Meat Alternatives,https://doi.org/10.3390/su12114377,MDPI AG,Sustainability,2020-05-28,84,51,"College of Agricultural Sciences, Pennsylvania State University",10.13039/100009791,Acceptance
10.1016/j.bej.2020.107864,Hydrodynamics and mass transfer in spinner flasks: Implications for large scale cultured meat production,https://doi.org/10.1016/j.bej.2020.107864,Elsevier BV,Biochemical Engineering Journal,2020-12-01,37,16,Fundamental Research Funds for the Central Universities,10.13039/501100012226,Process
10.1002/btpr.3402,Proliferation of mammalian cells with <i>Chlorococcum littorale</i> algal compounds without serum support,https://doi.org/10.1002/btpr.3402,Wiley,Biotechnology Progress,2023-10-31,48,5,JST-Mirai Program,10.13039/501100020959,Media
10.1021/acsbiomaterials.2c01521,Supplementation of GelMA with Minimally Processed Tissue Promotes the Formation of Densely Packed Skeletal-Muscle-Like Tissues,https://doi.org/10.1021/acsbiomaterials.2c01521,American Chemical Society (ACS),ACS Biomaterials Science &amp; Engineering,2023-05-01,80,7,Consejo Nacional de Ciencia y Tecnología,10.13039/501100003141,Scaffolding
10.1021/acsbiomaterials.2c01521,Supplementation of GelMA with Minimally Processed Tissue Promotes the Formation of Densely Packed Skeletal-Muscle-Like Tissues,https://doi.org/10.1021/acsbiomaterials.2c01521,American Chemical Society (ACS),ACS Biomaterials Science &amp; Engineering,2023-05-01,80,7,"United Nations Educational, Scientific and Cultural Organization",10.13039/100005243,Scaffolding
10.1021/acsbiomaterials.2c01521,Supplementation of GelMA with Minimally Processed Tissue Promotes the Formation of Densely Packed Skeletal-Muscle-Like Tissues,https://doi.org/10.1021/acsbiomaterials.2c01521,American Chemical Society (ACS),ACS Biomaterials Science &amp; Engineering,2023-05-01,80,7,L'Oréal Foundation,10.13039/501100007081,Scaffolding
10.3390/foods12071384,Effect of Serum and Oxygen on the In Vitro Culture of Hanwoo Korean Native Cattle-Derived Skeletal Myogenic Cells Used in Cellular Agriculture,https://doi.org/10.3390/foods12071384,MDPI AG,Foods,2023-03-24,24,3,Cooperative Research Program for Agriculture Science &amp; Technology Development,NA,Media
10.1016/j.crfs.2024.100846,Cellulose as a sustainable scaffold material in cultivated meat production,https://doi.org/10.1016/j.crfs.2024.100846,Elsevier BV,Current Research in Food Science,2024-09-13,144,1,National Natural Science Foundation of China,10.13039/501100001809,Scaffolding
10.1016/j.crfs.2024.100846,Cellulose as a sustainable scaffold material in cultivated meat production,https://doi.org/10.1016/j.crfs.2024.100846,Elsevier BV,Current Research in Food Science,2024-09-13,144,1,Good Food Institute,10.13039/100020002,Scaffolding
10.1016/j.tifs.2023.06.031,Cell culture medium cycling in cultured meat: Key factors and potential strategies,https://doi.org/10.1016/j.tifs.2023.06.031,Elsevier BV,Trends in Food Science &amp; Technology,2023-07-08,157,32,National Natural Science Foundation of China,10.13039/501100001809,Cell Sources
10.1016/j.tifs.2023.06.031,Cell culture medium cycling in cultured meat: Key factors and potential strategies,https://doi.org/10.1016/j.tifs.2023.06.031,Elsevier BV,Trends in Food Science &amp; Technology,2023-07-08,157,32,Good Food Institute,10.13039/100020002,Cell Sources
10.3390/gels8020094,Scaffolds for Cultured Meat on the Basis of Polysaccharide Hydrogels Enriched with Plant-Based Proteins,https://doi.org/10.3390/gels8020094,MDPI AG,Gels,2022-02-04,112,46,New Harvest,10.13039/100019411,Scaffolding
10.3390/gels8020094,Scaffolds for Cultured Meat on the Basis of Polysaccharide Hydrogels Enriched with Plant-Based Proteins,https://doi.org/10.3390/gels8020094,MDPI AG,Gels,2022-02-04,112,46,Avina Foundation (Switzerland),NA,Scaffolding
10.3390/cells13020135,Quality Control of Stem Cell-Based Cultured Meat According to Specific Differentiation Abilities,https://doi.org/10.3390/cells13020135,MDPI AG,Cells,2024-01-11,68,2,JST-Mirai Program,10.13039/501100020959,Cell Sources
10.3390/cells13020135,Quality Control of Stem Cell-Based Cultured Meat According to Specific Differentiation Abilities,https://doi.org/10.3390/cells13020135,MDPI AG,Cells,2024-01-11,68,2,"Otsuka Holdings Co., Ltd.",NA,Cell Sources
10.3390/cells13020135,Quality Control of Stem Cell-Based Cultured Meat According to Specific Differentiation Abilities,https://doi.org/10.3390/cells13020135,MDPI AG,Cells,2024-01-11,68,2,Japan Society for the Promotion of Science (JSPS),NA,Cell Sources
10.3390/cells13020135,Quality Control of Stem Cell-Based Cultured Meat According to Specific Differentiation Abilities,https://doi.org/10.3390/cells13020135,MDPI AG,Cells,2024-01-11,68,2,"Ministry of Education, Culture, Sports, Science, and Technology (MEXT) KAKENHI",10.13039/501100001700,Cell Sources
10.1007/s11626-024-00971-7,"Establishment, characterization, and sensory characteristics (taste and flavor) of an immortalized muscle cell line from the seven-band grouper Epinephelus septemfasciatus: implications for cultured seafood applications",https://doi.org/10.1007/s11626-024-00971-7,Springer Science and Business Media LLC,In Vitro Cellular &amp; Developmental Biology - Animal,2024-09-20,27,2,"Future Fisheries Food Research Centre’ funded by the Korea Institute of Marine Science and Technology (KIMST) promotions, Ministry of Oceans and Fisheries, Republic of Korea",NA,Cell Sources
10.5187/jast.2023.e10,Culturing characteristics of Hanwoo myosatellite cells and C2C12 cells incubated at 37°C and 39°C for cultured meat,https://doi.org/10.5187/jast.2023.e10,Korean Society of Animal Science and Technology,Journal of Animal Science and Technology,2023-02-09,48,11,"Ministry of Agriculture, Food and Rural Affairs",10.13039/501100000094,Process
10.5187/jast.2023.e10,Culturing characteristics of Hanwoo myosatellite cells and C2C12 cells incubated at 37°C and 39°C for cultured meat,https://doi.org/10.5187/jast.2023.e10,Korean Society of Animal Science and Technology,Journal of Animal Science and Technology,2023-02-09,48,11,National Research Foundation of Korea,10.13039/501100003725,Process
10.7554/elife.82120,Aggregating in vitro-grown adipocytes to produce macroscale cell-cultured fat tissue with tunable lipid compositions for food applications,https://doi.org/10.7554/elife.82120,"eLife Sciences Publications, Ltd",eLife,2023-04-04,115,25,New Harvest,10.13039/100019411,NA
10.7554/elife.82120,Aggregating in vitro-grown adipocytes to produce macroscale cell-cultured fat tissue with tunable lipid compositions for food applications,https://doi.org/10.7554/elife.82120,"eLife Sciences Publications, Ltd",eLife,2023-04-04,115,25,Advanced Research Projects Agency - Energy,10.13039/100006133,NA
10.7554/elife.82120,Aggregating in vitro-grown adipocytes to produce macroscale cell-cultured fat tissue with tunable lipid compositions for food applications,https://doi.org/10.7554/elife.82120,"eLife Sciences Publications, Ltd",eLife,2023-04-04,115,25,National Institutes of Health,10.13039/100000002,NA
10.7554/elife.82120,Aggregating in vitro-grown adipocytes to produce macroscale cell-cultured fat tissue with tunable lipid compositions for food applications,https://doi.org/10.7554/elife.82120,"eLife Sciences Publications, Ltd",eLife,2023-04-04,115,25,National Defense Science and Engineering Graduate,10.13039/100014037,NA
10.1016/j.lwt.2022.113650,Formation and analysis of structured solid foam patties based on crosslinked plant cell suspension cultures,https://doi.org/10.1016/j.lwt.2022.113650,Elsevier BV,LWT,2022-06-14,40,0,VTT Technical Research Centre of Finland Ltd,10.13039/501100007167,Stakeholders
10.1021/acsami.2c10620,Bioengineered Lab-Grown Meat-like Constructs through 3D Bioprinting of Antioxidative Protein Hydrolysates,https://doi.org/10.1021/acsami.2c10620,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2022-07-18,63,51,Ministry of Education,10.13039/501100002701,Process
10.1021/acsami.2c10620,Bioengineered Lab-Grown Meat-like Constructs through 3D Bioprinting of Antioxidative Protein Hydrolysates,https://doi.org/10.1021/acsami.2c10620,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2022-07-18,63,51,"Ministry of Trade, Industry and Energy",10.13039/501100003052,Process
10.1002/adma.202102660,Tethering Cells via Enzymatic Oxidative Crosslinking Enables Mechanotransduction in Non‐Cell‐Adhesive Materials,https://doi.org/10.1002/adma.202102660,Wiley,Advanced Materials,2021-09-03,96,19,European Research Council,10.13039/501100000781,Scaffolding
