doi,value
10.3390/ani12233328,Cell Sources and Differentiation
10.1038/s41467-023-44001-8,Cell Sources and Differentiation
10.1038/s41538-024-00257-y,Cell Sources and Differentiation
10.1016/j.fbio.2022.101766,Cell Sources and Differentiation
10.1016/j.bbrc.2023.10.018,Cell Sources and Differentiation
10.1038/s41538-019-0054-8,Cell Sources and Differentiation
10.3390/biom12060838,Cell Sources and Differentiation
10.3389/fsufs.2024.1341151,Cell Sources and Differentiation
10.1021/acs.jafc.3c06919,Cell Sources and Differentiation
10.1038/s41538-019-0041-0,Chronic Disease Preevention
10.1016/j.appet.2022.106392,Chronic Disease Preevention
10.1016/j.foodpol.2020.101931,Chronic Disease Preevention
10.3390/cells13010041,Chronic Disease Preevention
10.1007/s10806-019-09759-2,Chronic Disease Preevention
10.1016/j.foodpol.2022.102307,Chronic Disease Preevention
10.1186/s40100-023-00278-3,Chronic Disease Preevention
10.1002/fft2.165,Chronic Disease Preevention
10.1007/s11569-018-0330-0,Chronic Disease Preevention
10.1016/j.MEATsci.2022.108964,Chronic Disease Preevention
10.1177/2514848620963125,Chronic Disease Preevention
10.1016/j.foodhyd.2024.110156,Chronic Disease Preevention
10.1080/00036846.2024.2408035,Chronic Disease Preevention
10.1007/s10943-017-0403-3,Chronic Disease Preevention
10.1016/j.foodpol.2022.102376,Chronic Disease Preevention
10.1016/j.MEATsci.2019.04.004,Climate Change Impacts
10.3389/fsufs.2023.1160458,Climate Change Impacts
10.1038/s41538-019-0041-0,Climate Change Impacts
10.1016/j.techsoc.2022.102116,Climate Change Impacts
10.1038/s41538-022-00157-z,Climate Change Impacts
10.3390/foods10112588,Climate Change Impacts
10.1016/S2095-3119(14)60886-8,Climate Change Impacts
10.3390/nu11081904,Climate Change Impacts
10.3390/bios14010024,Climate Change Impacts
10.3390/conservation3020021,Climate Change Impacts
10.1016/j.meatsci.2019.04.004,Climate Change Impacts
10.3389/fnut.2020.00148,Climate Change Impacts
10.1016/j.biomaterials.2021.121155,Climate Change Impacts
10.3390/foods13091358,Climate Change Impacts
10.3389/fsufs.2023.1104731,Climate Change Impacts
10.3389/fsufs.2023.1134100,Climate Change Impacts
10.22434/IFAMR2022.0017,Climate Change Impacts
10.3389/fsufs.2024.1294390,Climate Change Impacts
10.3389/fnut.2023.1196475,Climate Change Impacts
10.3390/cells13020135,Climate Change Impacts
10.1007/s11626-024-00971-7,Climate Change Impacts
10.1021/acsami.2c10620,Climate Change Impacts
10.3828/extr.2022.11,Climate Change Impacts
10.3390/nu15214649,Climate Change Impacts
10.3390/bioengineering11080854,Climate Change Impacts
10.1111/faf.12541,Climate Change Impacts
10.3390/su141912501,Climate Change Impacts
10.3389/fsufs.2023.1302511,Climate Change Impacts
10.1016/j.foodhyd.2024.110369,Climate Change Impacts
10.1007/s11569-018-0330-0,Climate Change Impacts
10.1177/0963662516639001,Climate Change Impacts
10.3390/su13158235,Climate Change Impacts
10.3389/fcell.2023.1193634,Climate Change Impacts
10.3390/nu15132935,Climate Change Impacts
10.1016/j.biomaterials.2022.121669,Climate Change Impacts
10.1080/22041451.2024.2324405,Climate Change Impacts
10.1016/j.foodcont.2021.108336,Climate Change Impacts
10.1016/j.scitotenv.2022.158051,Climate Change Impacts
10.1038/s41538-022-00155-1,Climate Change Impacts
10.1080/01292986.2024.2342827,Climate Change Impacts
10.1111/ajsp.12609,Climate Change Impacts
10.1016/j.heliyon.2024.e38006,Climate Change Impacts
10.1057/s41599-022-01316-z,Climate Change Impacts
10.1002/bit.27848,Climate Change Impacts
10.1007/s12571-023-01390-4,Climate Change Impacts
10.1038/s41467-023-44001-8,Climate Change Impacts
10.3390/foods11193037,Climate Change Impacts
10.1016/j.biomaterials.2021.121107,Climate Change Impacts
10.3390/biom12060838,Climate Change Impacts
10.1177/2514848619827009,Climate Change Impacts
10.1016/j.jfca.2024.106663,Cost or Willingness to Pay
10.1002/bit.28324,Cost or Willingness to Pay
10.1016/j.livsci.2021.104705,Cost or Willingness to Pay
10.1016/j.MEATsci.2019.04.004,Cost or Willingness to Pay
10.3389/fsufs.2023.1160458,Cost or Willingness to Pay
10.3390/su13137430,Cost or Willingness to Pay
10.1038/s41538-019-0041-0,Cost or Willingness to Pay
10.1016/j.cej.2022.137455,Cost or Willingness to Pay
10.1016/j.techsoc.2022.102116,Cost or Willingness to Pay
10.1016/j.appet.2022.106392,Cost or Willingness to Pay
10.1016/j.foodpol.2020.101931,Cost or Willingness to Pay
10.1007/s10806-017-9654-y,Cost or Willingness to Pay
10.1371/journal.pone.0290169,Cost or Willingness to Pay
10.1080/13669877.2020.1871057,Cost or Willingness to Pay
10.3390/nu11081904,Cost or Willingness to Pay
10.1016/j.ifset.2024.103734,Cost or Willingness to Pay
10.1016/j.foodhyd.2024.109944,Cost or Willingness to Pay
10.1016/j.livsci.2022.104909,Cost or Willingness to Pay
10.1016/j.meatsci.2019.04.004,Cost or Willingness to Pay
10.1016/j.biomaterials.2021.121155,Cost or Willingness to Pay
10.3389/fbioe.2023.1202165,Cost or Willingness to Pay
10.1016/j.appet.2020.104860,Cost or Willingness to Pay
10.3389/fsufs.2023.1134100,Cost or Willingness to Pay
10.22434/IFAMR2022.0017,Cost or Willingness to Pay
10.3390/su12114377,Cost or Willingness to Pay
10.3389/fnut.2023.1196475,Cost or Willingness to Pay
10.3389/fsufs.2022.1056615,Cost or Willingness to Pay
10.1007/s10806-015-9573-8,Cost or Willingness to Pay
10.3390/cells13020135,Cost or Willingness to Pay
10.1108/BFJ-09-2021-0987,Cost or Willingness to Pay
10.1016/j.foodqual.2024.105208,Cost or Willingness to Pay
10.1111/faf.12541,Cost or Willingness to Pay
10.3390/su141912501,Cost or Willingness to Pay
10.3389/fsufs.2023.1302511,Cost or Willingness to Pay
10.1007/s11569-018-0330-0,Cost or Willingness to Pay
10.1016/j.foodqual.2024.105102,Cost or Willingness to Pay
10.1371/journal.pone.0251432,Cost or Willingness to Pay
10.1108/BFJ-01-2018-0025,Cost or Willingness to Pay
10.1177/09717218221075158,Cost or Willingness to Pay
10.3390/nu13041284,Cost or Willingness to Pay
10.1016/j.MEATsci.2022.108964,Cost or Willingness to Pay
10.3390/nu15132935,Cost or Willingness to Pay
10.3389/fsufs.2019.00128,Cost or Willingness to Pay
10.1016/j.foodcont.2021.108336,Cost or Willingness to Pay
10.1080/01292986.2024.2342827,Cost or Willingness to Pay
10.3389/fsufs.2019.00011,Cost or Willingness to Pay
10.3389/fsufs.2021.594650,Cost or Willingness to Pay
10.3390/su14126956,Cost or Willingness to Pay
10.3389/fnut.2024.1401715,Cost or Willingness to Pay
10.1016/j.heliyon.2024.e38006,Cost or Willingness to Pay
10.1016/j.crfs.2023.100545,Cost or Willingness to Pay
10.1080/00036846.2024.2408035,Cost or Willingness to Pay
10.1002/bit.27848,Cost or Willingness to Pay
10.3390/su15129253,Cost or Willingness to Pay
10.1016/j.MEATsci.2022.108776,Cost or Willingness to Pay
10.1016/j.jafr.2022.100358,Cost or Willingness to Pay
10.1016/j.foodqual.2022.104573,Cost or Willingness to Pay
10.1007/s11356-022-23597-2,Cost or Willingness to Pay
10.3934/agrfood.2024021,Cost or Willingness to Pay
10.1016/j.MEATsci.2022.109081,Cost or Willingness to Pay
10.1016/j.ecolecon.2021.107329,Cost or Willingness to Pay
10.1016/j.MEATsci.2023.109191,Cost or Willingness to Pay
10.1016/j.foodpol.2022.102376,Cost or Willingness to Pay
10.1007/s10806-017-9654-y,Disconnecting from Food Sources
10.3389/fsufs.2023.1104731,Disconnecting from Food Sources
10.3828/extr.2022.11,Disconnecting from Food Sources
10.1007/s11158-016-9331-4,Disconnecting from Food Sources
10.1016/j.MEATsci.2019.04.004,Disgust reactions
10.3390/su13137430,Disgust reactions
10.1007/s10806-017-9654-y,Disgust reactions
10.1038/s41538-022-00172-0,Disgust reactions
10.1016/j.foodqual.2021.104226,Disgust reactions
10.3390/nu11081904,Disgust reactions
10.1016/j.livsci.2022.104909,Disgust reactions
10.1016/j.meatsci.2019.04.004,Disgust reactions
10.3389/fnut.2020.00148,Disgust reactions
10.1007/s10806-015-9573-8,Disgust reactions
10.1016/j.fufo.2024.100297,Disgust reactions
10.1016/j.appet.2024.107240,Disgust reactions
10.1016/j.appet.2024.107297,Disgust reactions
10.1108/BFJ-09-2021-0987,Disgust reactions
10.1016/j.foodqual.2024.105208,Disgust reactions
10.1111/faf.12541,Disgust reactions
10.1371/journal.pone.0251432,Disgust reactions
10.1108/BFJ-01-2018-0025,Disgust reactions
10.1177/09717218221075158,Disgust reactions
10.3390/su13158235,Disgust reactions
10.3390/nu13041284,Disgust reactions
10.1016/j.MEATsci.2022.108964,Disgust reactions
10.1080/22041451.2024.2324405,Disgust reactions
10.3389/fsufs.2019.00011,Disgust reactions
10.1016/j.foodqual.2023.105032,Disgust reactions
10.1016/j.MEATsci.2022.108776,Disgust reactions
10.3934/agrfood.2024021,Disgust reactions
10.1016/j.appet.2016.10.002,Disgust reactions
10.3390/su15054009,Disgust reactions
10.1108/BFJ-02-2020-0092,Disgust reactions
10.1016/j.foodpol.2022.102376,Disgust reactions
10.3389/fsufs.2023.1127164,Economic - (includes energy efficiency)
10.3389/fsufs.2023.1160458,Economic - (includes energy efficiency)
10.1353/con.2013.0013,Economic - (includes energy efficiency)
10.1016/j.fbio.2022.101571,Economic - (includes energy efficiency)
10.3390/cells13010041,Economic - (includes energy efficiency)
10.1016/j.carbpol.2023.121287,Economic - (includes energy efficiency)
10.1371/journal.pone.0221129,Economic - (includes energy efficiency)
10.3389/fsufs.2023.1134100,Economic - (includes energy efficiency)
10.22434/IFAMR2022.0017,Economic - (includes energy efficiency)
10.1089/space.2019.0018,Economic - (includes energy efficiency)
10.3390/su12114377,Economic - (includes energy efficiency)
10.3389/fnut.2023.1196475,Economic - (includes energy efficiency)
10.3389/fsufs.2022.1056615,Economic - (includes energy efficiency)
10.3390/foods12071384,Economic - (includes energy efficiency)
10.3390/gels8020094,Economic - (includes energy efficiency)
10.1007/s11626-024-00971-7,Economic - (includes energy efficiency)
10.3389/fnut.2023.1197111,Economic - (includes energy efficiency)
10.1016/j.appet.2024.107240,Economic - (includes energy efficiency)
10.1016/j.jfoodeng.2024.112259,Economic - (includes energy efficiency)
10.3390/nu15214649,Economic - (includes energy efficiency)
10.1038/s42003-022-03423-8,Economic - (includes energy efficiency)
10.1159/000511764,Economic - (includes energy efficiency)
10.1039/d1fo04340d,Economic - (includes energy efficiency)
10.1007/s11569-018-0330-0,Economic - (includes energy efficiency)
10.1016/j.foodqual.2024.105102,Economic - (includes energy efficiency)
10.1177/0963662516639001,Economic - (includes energy efficiency)
10.3390/foods12142682,Economic - (includes energy efficiency)
10.3389/fsufs.2024.1294390,Economic - (includes energy efficiency)
10.1108/BFJ-01-2018-0025,Economic - (includes energy efficiency)
10.1177/09717218221075158,Economic - (includes energy efficiency)
10.3390/su13158235,Economic - (includes energy efficiency)
10.3390/nu13041284,Economic - (includes energy efficiency)
10.1016/j.MEATsci.2022.108964,Economic - (includes energy efficiency)
10.1016/j.biomaterials.2022.121669,Economic - (includes energy efficiency)
10.1080/22041451.2024.2324405,Economic - (includes energy efficiency)
10.1016/j.foodres.2022.111952,Economic - (includes energy efficiency)
10.1038/s41598-024-59767-0,Economic - (includes energy efficiency)
10.3389/fsufs.2019.00128,Economic - (includes energy efficiency)
10.1016/j.foodcont.2021.108336,Economic - (includes energy efficiency)
10.1080/01292986.2024.2342827,Economic - (includes energy efficiency)
10.1177/2514848620963125,Economic - (includes energy efficiency)
10.3389/fbioe.2022.895289,Economic - (includes energy efficiency)
10.1111/ajsp.12609,Economic - (includes energy efficiency)
10.3389/fsufs.2021.594650,Economic - (includes energy efficiency)
10.1016/j.biomaterials.2022.121602,Economic - (includes energy efficiency)
10.1080/00036846.2024.2408035,Economic - (includes energy efficiency)
10.5851/kosfa.2024.e72,Economic - (includes energy efficiency)
10.1111/japp.12056,Economic - (includes energy efficiency)
10.1057/s41599-022-01316-z,Economic - (includes energy efficiency)
10.1002/elsc.202300005,Economic - (includes energy efficiency)
10.1007/s12571-023-01390-4,Economic - (includes energy efficiency)
10.1007/s10943-017-0403-3,Economic - (includes energy efficiency)
10.1016/j.foodqual.2022.104573,Economic - (includes energy efficiency)
10.1007/s11356-022-23597-2,Economic - (includes energy efficiency)
10.1038/s41467-021-25236-9,Economic - (includes energy efficiency)
10.1002/bit.27469,Economic - (includes energy efficiency)
10.1016/j.appet.2016.10.002,Economic - (includes energy efficiency)
10.3390/foods11193037,Economic - (includes energy efficiency)
10.1016/j.matdes.2024.112992,Economic - (includes energy efficiency)
10.1016/j.MEATsci.2022.109081,Economic - (includes energy efficiency)
10.1016/j.biomaterials.2021.121107,Economic - (includes energy efficiency)
10.1108/BFJ-02-2020-0092,Economic - (includes energy efficiency)
10.1016/j.fbio.2022.101766,Economic - (includes energy efficiency)
10.1016/j.MEATsci.2023.109191,Economic - (includes energy efficiency)
10.3390/biom12060838,Economic - (includes energy efficiency)
10.3389/fsufs.2024.1341151,Economic - (includes energy efficiency)
10.1080/09505431.2016.1171836,Economic - (includes energy efficiency)
10.1016/j.jfca.2024.106663,Energy Use is High
10.1038/s41538-019-0041-0,Energy Use is High
10.1016/j.cej.2022.137455,Energy Use is High
10.3389/fnut.2020.00148,Energy Use is High
10.1089/space.2019.0018,Energy Use is High
10.1016/j.ces.2019.115269,Energy Use is High
10.3390/gels8020094,Energy Use is High
10.3828/extr.2022.11,Energy Use is High
10.1016/j.scitotenv.2023.164988,Energy Use is High
10.1007/s11569-018-0330-0,Energy Use is High
10.3390/su13158235,Energy Use is High
10.1016/j.MEATsci.2022.108964,Energy Use is High
10.1016/j.scitotenv.2022.158051,Energy Use is High
10.1007/s11367-015-0931-6,Energy Use is High
10.1177/2514848620963125,Energy Use is High
10.1016/j.biomaterials.2021.121267,Energy Use is High
10.1007/s11947-024-03552-4,Energy Use is High
10.1007/s12571-023-01390-4,Energy Use is High
10.1016/j.foodqual.2022.104573,Energy Use is High
10.1007/s11569-017-0282-9,Energy Use is High
10.3934/agrfood.2024021,Energy Use is High
10.1002/bit.27469,Energy Use is High
10.3390/foods11193037,Energy Use is High
10.1016/j.bbrc.2023.10.018,Energy Use is High
10.1016/j.jfca.2024.106663,Excessive Fresh Water Use
10.1002/bit.28324,Excessive Fresh Water Use
10.1016/j.ifset.2024.103734,Excessive Fresh Water Use
10.3389/fsufs.2023.1160458,Excessive Fresh Water Use
10.1353/con.2013.0013,Excessive Fresh Water Use
10.1038/s41538-019-0041-0,Excessive Fresh Water Use
10.1016/j.foodpol.2020.101931,Excessive Fresh Water Use
10.3390/cells13010041,Excessive Fresh Water Use
10.1038/s41538-022-00172-0,Excessive Fresh Water Use
10.5851/kosfa.2024.e46,Excessive Fresh Water Use
10.1016/j.fbio.2023.102910,Excessive Fresh Water Use
10.3390/foods10112588,Excessive Fresh Water Use
10.1016/j.foodres.2023.113757,Excessive Fresh Water Use
10.1016/S2095-3119(14)60886-8,Excessive Fresh Water Use
10.3390/nu11081904,Excessive Fresh Water Use
10.1016/j.carbpol.2023.121287,Excessive Fresh Water Use
10.1016/j.appet.2022.105990,Excessive Fresh Water Use
10.1016/j.biomaterials.2022.121649,Excessive Fresh Water Use
10.3390/conservation3020021,Excessive Fresh Water Use
10.3389/fnut.2020.00148,Excessive Fresh Water Use
10.1002/cite.202200151,Excessive Fresh Water Use
10.1371/journal.pone.0221129,Excessive Fresh Water Use
10.3389/fsufs.2023.1134100,Excessive Fresh Water Use
10.3389/fsufs.2024.1294390,Excessive Fresh Water Use
10.1089/space.2019.0018,Excessive Fresh Water Use
10.3390/su12114377,Excessive Fresh Water Use
10.3389/fsufs.2022.1056615,Excessive Fresh Water Use
10.1007/s11626-024-00971-7,Excessive Fresh Water Use
10.5187/jast.2023.e10,Excessive Fresh Water Use
10.1016/j.fufo.2024.100297,Excessive Fresh Water Use
10.1021/acsami.2c10620,Excessive Fresh Water Use
10.1016/j.appet.2024.107240,Excessive Fresh Water Use
10.1016/j.jfoodeng.2024.112259,Excessive Fresh Water Use
10.1016/j.foodpol.2022.102307,Excessive Fresh Water Use
10.3390/nu15214649,Excessive Fresh Water Use
10.1038/s42003-022-03423-8,Excessive Fresh Water Use
10.3390/su141912501,Excessive Fresh Water Use
10.1159/000511764,Excessive Fresh Water Use
10.1002/adsu.202300499,Excessive Fresh Water Use
10.1007/s11569-018-0330-0,Excessive Fresh Water Use
10.1177/0963662516639001,Excessive Fresh Water Use
10.1108/BFJ-01-2018-0025,Excessive Fresh Water Use
10.1177/09717218221075158,Excessive Fresh Water Use
10.3389/fcell.2023.1193634,Excessive Fresh Water Use
10.1038/s41538-021-00090-7,Excessive Fresh Water Use
10.1016/j.foodres.2022.111952,Excessive Fresh Water Use
10.1007/s11367-015-0931-6,Excessive Fresh Water Use
10.3390/jfb14040218,Excessive Fresh Water Use
10.1177/2514848620963125,Excessive Fresh Water Use
10.3390/foods10112537,Excessive Fresh Water Use
10.3389/fsufs.2019.00011,Excessive Fresh Water Use
10.1111/ajsp.12609,Excessive Fresh Water Use
10.1016/j.biomaterials.2021.121267,Excessive Fresh Water Use
10.3389/fsufs.2021.594650,Excessive Fresh Water Use
10.3389/fnut.2024.1401715,Excessive Fresh Water Use
10.1016/j.heliyon.2024.e38006,Excessive Fresh Water Use
10.1016/j.crfs.2023.100545,Excessive Fresh Water Use
10.1111/japp.12056,Excessive Fresh Water Use
10.1057/s41599-022-01316-z,Excessive Fresh Water Use
10.3390/su15129253,Excessive Fresh Water Use
10.3390/foods11213364,Excessive Fresh Water Use
10.1016/j.foodres.2023.113794,Excessive Fresh Water Use
10.1007/s12571-023-01390-4,Excessive Fresh Water Use
10.1007/s10943-017-0403-3,Excessive Fresh Water Use
10.1038/s41598-024-68247-4,Excessive Fresh Water Use
10.1016/j.isci.2022.105054,Excessive Fresh Water Use
10.1002/bit.27469,Excessive Fresh Water Use
10.1016/j.biomaterials.2022.121659,Excessive Fresh Water Use
10.1016/j.MEATsci.2022.109081,Excessive Fresh Water Use
10.1108/BFJ-02-2020-0092,Excessive Fresh Water Use
10.1016/j.bbrc.2023.10.018,Excessive Fresh Water Use
10.1016/j.foodhyd.2024.110412,Excessive Fresh Water Use
10.1038/s41538-019-0054-8,Excessive Fresh Water Use
10.1016/j.MEATsci.2023.109191,Excessive Fresh Water Use
10.1016/j.foodpol.2022.102376,Excessive Fresh Water Use
10.3390/biom12060838,Excessive Fresh Water Use
10.1080/09505431.2016.1171836,Excessive Fresh Water Use
10.3389/fsufs.2023.1127164,False Information concerns
10.1016/j.livsci.2022.104909,False Information concerns
10.3390/conservation3020021,False Information concerns
10.1038/s41538-022-00172-0,False Information concerns
10.1016/j.appet.2024.107297,False Information concerns
10.3390/nu15214649,False Information concerns
10.1186/s40100-023-00278-3,False Information concerns
10.1016/j.jfca.2024.106663,Food Safety Improvements
10.1016/j.ifset.2024.103734,Food Safety Improvements
10.1016/j.MEATsci.2019.04.004,Food Safety Improvements
10.3389/fsufs.2023.1160458,Food Safety Improvements
10.1353/con.2013.0013,Food Safety Improvements
10.1016/j.biomaterials.2022.121615,Food Safety Improvements
10.1371/journal.pone.0290169,Food Safety Improvements
10.3390/cells13010041,Food Safety Improvements
10.1038/s41538-022-00172-0,Food Safety Improvements
10.1038/s41538-022-00157-z,Food Safety Improvements
10.3390/cells10092499,Food Safety Improvements
10.5851/kosfa.2024.e46,Food Safety Improvements
10.1016/j.fbio.2023.102910,Food Safety Improvements
10.3390/foods10112588,Food Safety Improvements
10.1038/s41538-024-00262-1,Food Safety Improvements
10.1016/j.carbpol.2023.121287,Food Safety Improvements
10.1016/j.biomaterials.2022.121649,Food Safety Improvements
10.1080/09505431.2018.1544232,Food Safety Improvements
10.3390/conservation3020021,Food Safety Improvements
10.3389/fsufs.2023.1127164,Food Safety Improvements
10.1016/j.meatsci.2019.04.004,Food Safety Improvements
10.3389/fnut.2020.00148,Food Safety Improvements
10.1002/cite.202200151,Food Safety Improvements
10.1016/j.biomaterials.2021.121155,Food Safety Improvements
10.3390/foods13091358,Food Safety Improvements
10.3389/fsufs.2023.1104731,Food Safety Improvements
10.3389/fsufs.2023.1134100,Food Safety Improvements
10.3390/foods12142645,Food Safety Improvements
10.3389/fnut.2023.1196475,Food Safety Improvements
10.3389/fsufs.2022.1056615,Food Safety Improvements
10.3390/gels8020094,Food Safety Improvements
10.3390/cells13020135,Food Safety Improvements
10.1016/j.fufo.2024.100297,Food Safety Improvements
10.3828/extr.2022.11,Food Safety Improvements
10.1016/j.foodqual.2024.105208,Food Safety Improvements
10.1080/08941920.2017.1304599,Food Safety Improvements
10.1016/j.foodpol.2022.102307,Food Safety Improvements
10.3390/nu15214649,Food Safety Improvements
10.3390/bioengineering11080854,Food Safety Improvements
10.1111/faf.12541,Food Safety Improvements
10.3390/su141912501,Food Safety Improvements
10.1159/000511764,Food Safety Improvements
10.1016/j.foodres.2022.111561,Food Safety Improvements
10.1016/j.foodres.2022.111818,Food Safety Improvements
10.1039/d1fo04340d,Food Safety Improvements
10.1002/fft2.165,Food Safety Improvements
10.1007/s11569-018-0330-0,Food Safety Improvements
10.1016/j.foodqual.2024.105102,Food Safety Improvements
10.1177/0963662516639001,Food Safety Improvements
10.3390/foods12142682,Food Safety Improvements
10.1371/journal.pone.0251432,Food Safety Improvements
10.1177/09717218221075158,Food Safety Improvements
10.3390/su13158235,Food Safety Improvements
10.3390/nu13041284,Food Safety Improvements
10.1016/j.foodcont.2021.108336,Food Safety Improvements
10.1177/2514848620963125,Food Safety Improvements
10.3390/foods10112537,Food Safety Improvements
10.1016/j.foodqual.2023.105032,Food Safety Improvements
10.1111/ajsp.12609,Food Safety Improvements
10.3389/fsufs.2021.594650,Food Safety Improvements
10.3390/su14126956,Food Safety Improvements
10.1016/j.heliyon.2024.e38006,Food Safety Improvements
10.1016/j.jfutfo.2021.09.005,Food Safety Improvements
10.1111/japp.12056,Food Safety Improvements
10.1057/s41599-022-01316-z,Food Safety Improvements
10.1002/bit.27848,Food Safety Improvements
10.3390/su15129253,Food Safety Improvements
10.3390/foods11213364,Food Safety Improvements
10.1016/j.foodres.2023.113794,Food Safety Improvements
